iter	Accuracy	MultiClass
326	0.606372549	0.8623128947
327	0.6067647059	0.8621266207
328	0.6067647059	0.8619383217
329	0.6069607843	0.8617981212
330	0.6070588235	0.8615496643
331	0.6071568627	0.861406773
332	0.6071568627	0.8612981922
333	0.6078431373	0.8610636311
334	0.6078431373	0.860934201
335	0.6082352941	0.8606899998
336	0.6083333333	0.8605799361
337	0.6080392157	0.8604193221
338	0.608627451	0.8601303831
339	0.6088235294	0.8599207615
340	0.6085294118	0.8596613297
341	0.6089215686	0.8594562098
342	0.6089215686	0.859274822
343	0.6088235294	0.8591009427
344	0.608627451	0.8588316509
345	0.6084313725	0.8586399325
346	0.6089215686	0.8584641569
347	0.6093137255	0.8582395047
348	0.6095098039	0.8580668404
349	0.6097058824	0.8579270245
350	0.6097058824	0.8577994198
351	0.6097058824	0.8575608645
352	0.6095098039	0.8573808593
353	0.61	0.8572517392
354	0.6103921569	0.8570605997
355	0.6101960784	0.8569195272
356	0.6104901961	0.8567490827
357	0.6105882353	0.8566382655
358	0.6104901961	0.8564639617
359	0.6101960784	0.8563261118
360	0.6106862745	0.8562039784
361	0.6111764706	0.8559395413
362	0.611372549	0.8557762615
363	0.611372549	0.8555479781
364	0.6115686275	0.8554173211
365	0.6116666667	0.8552257571
366	0.6115686275	0.8551375741
367	0.6115686275	0.854880562
368	0.6114705882	0.8547968952
369	0.6115686275	0.8546704785
370	0.6117647059	0.8545622092
371	0.6118627451	0.8543177351
372	0.6121568627	0.8541039218
373	0.612254902	0.8539665463
374	0.6123529412	0.853718842
375	0.6121568627	0.8536455721
376	0.6121568627	0.8534782038
377	0.6119607843	0.8532171048
378	0.6119607843	0.8531154088
379	0.612254902	0.8529107159
380	0.612254902	0.8527269891
381	0.612254902	0.8524682489
382	0.6123529412	0.8521604075
383	0.6132352941	0.8518153616
384	0.6130392157	0.8516914612
385	0.6131372549	0.8514351718
386	0.6131372549	0.8513374173
387	0.6132352941	0.8511385955
388	0.6131372549	0.8509977164
389	0.6130392157	0.8507949403
390	0.6137254902	0.8505865443
391	0.6142156863	0.8504053691
392	0.6145098039	0.8502316762
393	0.6147058824	0.8500156526
394	0.6149019608	0.8497305697
395	0.6149019608	0.8496083132
396	0.6154901961	0.8494811852
397	0.6154901961	0.8493759304
398	0.6153921569	0.8491871711
399	0.6151960784	0.8488539068
400	0.6155882353	0.8485887537
401	0.6162745098	0.8483272635
402	0.6159803922	0.8481994021
403	0.6161764706	0.8481083528
404	0.6164705882	0.8478073829
405	0.6162745098	0.8475484608
406	0.6165686275	0.8473930115
407	0.6170588235	0.8471901781
408	0.6169607843	0.847074589
409	0.617254902	0.8469637501
410	0.6173529412	0.8468049558
411	0.6175490196	0.8467265029
412	0.6176470588	0.8466217115
413	0.6179411765	0.8463853172
414	0.6176470588	0.8462671225
415	0.617745098	0.8461550546
416	0.617745098	0.8460912533
417	0.617745098	0.8459882996
418	0.617745098	0.8457340326
419	0.617745098	0.8455709174
420	0.6176470588	0.8453448799
421	0.6174509804	0.8451922633
422	0.6178431373	0.8449364667
423	0.6176470588	0.8447616881
424	0.6180392157	0.8446127452
425	0.6184313725	0.8442823068
426	0.6183333333	0.8441526768
427	0.6183333333	0.8439699991
428	0.618627451	0.8438459515
429	0.6188235294	0.8436781495
430	0.6189215686	0.8435070701
431	0.6193137255	0.8433641197
432	0.6192156863	0.843157858
433	0.6196078431	0.8429642055
434	0.6191176471	0.8428154173
435	0.6192156863	0.8426548136
436	0.6196078431	0.8425534558
437	0.6196078431	0.8424749119
438	0.6195098039	0.8422652833
439	0.6191176471	0.8420852501
440	0.6195098039	0.8419586216
441	0.6194117647	0.8418199293
442	0.6198039216	0.8417025663
443	0.6198039216	0.8414721405
444	0.6197058824	0.8413043174
445	0.6192156863	0.8411084068
446	0.6193137255	0.8408794976
447	0.6191176471	0.8406456303
448	0.6192156863	0.8405309238
449	0.6196078431	0.8404139944
450	0.6197058824	0.8402961563
451	0.6197058824	0.8400263546
452	0.6198039216	0.8398758712
453	0.6198039216	0.8397838212
454	0.6202941176	0.8396237468
455	0.6203921569	0.8394383394
456	0.6203921569	0.8392472379
457	0.6202941176	0.8391001224
